               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,            0.024702,            0.016133,          0.00082699,             0.80072,               0.669,             0.67304,             0.26174,            0.048371,            0.024835,            0.012253,            0.003466,            0.003466,            0.003466
                  68,            0.024778,            0.016076,          0.00068788,             0.79088,             0.66956,             0.66212,             0.26617,            0.049079,            0.024776,            0.011037,            0.003367,            0.003367,            0.003367
                  69,            0.024575,            0.016119,           0.0007214,             0.83159,             0.65491,               0.675,             0.26291,            0.048189,            0.024663,            0.011489,            0.003268,            0.003268,            0.003268
                  70,            0.024594,            0.016645,          0.00081866,               0.831,             0.64438,             0.67058,             0.26684,            0.048259,            0.025265,            0.011038,            0.003169,            0.003169,            0.003169
                  71,             0.02446,            0.016053,          0.00088598,             0.81058,             0.66936,             0.66907,             0.26228,            0.048497,            0.025116,            0.010509,             0.00307,             0.00307,             0.00307
                  72,            0.023512,            0.015617,          0.00074672,             0.79615,             0.66328,             0.66922,             0.26374,            0.048567,            0.024924,            0.010608,            0.002971,            0.002971,            0.002971
                  73,             0.02346,            0.015723,          0.00084205,             0.81603,             0.66774,             0.67558,             0.27011,            0.049175,            0.024289,            0.010834,            0.002872,            0.002872,            0.002872
                  74,             0.02376,            0.015871,          0.00076819,             0.81105,             0.65507,             0.67193,             0.26807,            0.048902,             0.02511,            0.010128,            0.002773,            0.002773,            0.002773
                  75,            0.023528,             0.01617,          0.00079084,             0.79277,             0.66931,             0.67795,              0.2742,            0.048867,             0.02532,            0.011091,            0.002674,            0.002674,            0.002674
                  76,            0.023873,            0.015649,          0.00068024,             0.78495,             0.67686,             0.67533,             0.26905,            0.048487,            0.024629,             0.01121,            0.002575,            0.002575,            0.002575
                  77,              0.0229,            0.015031,          0.00068887,              0.8083,             0.63391,              0.6648,             0.27161,            0.048659,            0.025347,            0.012366,            0.002476,            0.002476,            0.002476
                  78,            0.022668,            0.015471,          0.00062242,             0.79759,             0.65587,             0.67116,             0.26814,            0.048547,             0.02551,            0.011834,            0.002377,            0.002377,            0.002377
                  79,            0.022781,            0.015961,          0.00067269,             0.83776,             0.65731,             0.68236,             0.27173,            0.048602,            0.024814,            0.012447,            0.002278,            0.002278,            0.002278
                  80,            0.022364,            0.014679,          0.00068541,             0.78146,             0.66501,             0.65645,             0.25999,            0.049242,            0.025864,            0.011532,            0.002179,            0.002179,            0.002179
                  81,            0.021937,            0.014753,          0.00050325,             0.78416,             0.67842,             0.66641,             0.26137,            0.049162,            0.025971,            0.010747,             0.00208,             0.00208,             0.00208
                  82,            0.022179,            0.014838,          0.00058589,             0.77441,             0.69168,             0.67693,             0.26763,            0.048832,            0.025489,            0.011704,            0.001981,            0.001981,            0.001981
                  83,            0.021755,            0.014764,          0.00061131,             0.75221,             0.67724,             0.67452,             0.26517,            0.048629,            0.025816,            0.010998,            0.001882,            0.001882,            0.001882
                  84,            0.021955,            0.014686,          0.00065511,             0.80875,             0.67253,             0.67424,             0.26592,            0.048348,             0.02588,             0.01148,            0.001783,            0.001783,            0.001783
